Target,Simbad Name,RA,DEC,SpType,SpType Number,SpType Letter,SpType Decimal,SpType Decimal Unc,i disk (deg),i disk Unc,Rstar (Rsun),Rstar Unc,Mstar (Msun),Mstar Unc,Prot (d),Prot Unc,vsini (km/s),vsini Unc,Teff (K),Teff Unc,Age (Myr),Age +Unc,Age -Unc,i star (deg),i star +Unc,i star -Unc,disk diff,disk diff +Unc,disk diff -Unc,Veq,Veq Unc,Rdisk (au),Rdisk +Unc,Rdisk -Unc,Delta Rdisk (au),Delta Rdisk +Unc,Delta Rdisk -Unc
61 Virginis,61 Virginis,13 18 24.3140,-18 18 40.2977,G6.5,3.65,G,3.65,0.0001,77,4,0.984,0.082276694,0.98,0.121,32.09088271,4.230458993,2,ulimit,5556.661369,16.78004403,4020,700,700,90,0.00E+00,43.25765427,2,28.37767746,2,1.551320618,0.242174334,189.5,160.5,160.5,0,,
AU Mic,AU Mic,20 45 09.5325,-31 20 27.2379,M1.0,5.1,M,5.1,0.0001,88.4,0.1,0.698,0.05318176,0.66,0.02,4.87,0.334370501,8.969833415,0.287743374,3770.157931,19.25318708,23,3,3,90,0.00E+00,10.63417722,0.5,8.528827701,0.5,7.251278588,0.743715972,32.8,,,25.2,,
BD+45 598,BD+45 598,02 21 13.0830,46 00 07.1707,K0.0,4,K,4,0.0001,88.1,0.7,1.384,0.123752715,0.91,0.116,4.75,0.350924818,16.57789342,0.794884825,5202.074007,77.12215684,23,3,3,90,0.00E+00,15.09819937,0.2,12.9929726,0.2,14.74112435,1.709807736,109.6,43.8,24.6,0,,
epsilon Eridani,epsilon Eridani,03 32 55.8445,-09 27 29.7395,K2.0,4.2,K,4.2,0.0001,33.7,0.5,0.755,0.065093183,0.85,0.1,11.17903431,0.619610886,2.542715834,0.112979214,5104.49096,12.87257137,800,400,400,48.21,10.54201127,7.064771948,15.1,10.01814871,7.621011602,3.416888381,0.350214905,16.6,,,14.9,,
Fomalhaut C,Fomalhaut C,22 48 04.4929,-24 22 07.7178,M4.0,5.4,M,5.4,0.0001,42,4,0.23,0.017555911,0.199,0.02,0.319,0.002078232,25.4,1.27,3036.863853,63.9331788,440,40,40,44.27,6.166694466,4.885997283,0.2,7.637058806,0.2,36.47751815,2.794453854,26,,,4.2,,
GJ 14,GJ 14,00 17 06.3741,40 56 53.8708,K7.0,4.7,K,4.7,0.0001,63.5,1.5,0.713,0.085970972,0.63,0.075,15.78,1.807918061,3,0.4,4066.970433,77.5921004,500,300,300,90,0.00E+00,18.69442907,22,2.763004373,15.00042982,2.285970703,0.380220932,99,,,33,,
HD 104860,HD 104860,12 04 33.7309,66 20 11.7128,F9.5,2.95,F,2.95,0.0001,58,5,1.007,0.088796622,1.11,0.147,2.99,0.076959281,15.7263263,1.02047313,5948.384299,72.00605027,190,110,100,67.95,16.31358155,8.091019289,0.2,19.42015256,0.2,17.03909057,1.565195236,114.2,,,13.4,,
HD 105,HD 105,00 05 52.5448,-41 45 11.0450,G0.0,3,G,3,0.0001,49.5,2.5,1.016,0.089297561,1.12,0.149,2.96,0.110599948,14.30599798,0.339723754,6103.361254,12.18246241,45,4,4,55.52,12.9182305,7.864982022,0.1,16.31639538,0.1,17.36561331,1.658485391,85,,,30,,
HD 10647,HD 10647,01 42 29.3145,-53 44 26.9914,F9.0,2.9,F,2.9,0.0001,76.7,1,1.096,0.095576976,1.17,0.164,8.9,0.772493397,4.483252532,0.125223433,6164.540002,30.20722304,1700,600,600,46.07,11.82200534,7.380907256,31.1,6.897981569,12.45631652,6.230295948,0.766566465,100,,,70,,
HD 107146,HD 107146,12 19 06.5019,16 32 53.8677,G2.0,3.2,G,3.2,0.0001,22.05,0.75,0.958,0.078600532,1.06,0.135,3.65,0.193611514,4.95,0.353553391,5916.000668,65.38974158,150,100,50,22,3.195674997,2.649001696,0.1,2.91473869,0.1,13.27885944,1.297346474,107,,,110,,
HD 141943,HD 141943,15 53 27.2917,-42 16 00.7108,G2.0,3.2,G,3.2,0.0001,86,1,1.348,0.112906198,1.09,0.14,2.26,0.084677115,36.85231732,1.082401374,5802.754751,60.7156738,17,50,10,90,0.00E+00,9.994960316,0.7,5.746992792,0.7,30.1765497,2.768899686,90.5,,,20,,
HD 202628,HD 202628,21 18 27.2696,-43 20 04.7430,G5.0,3.5,G,3.5,0.0001,57.4,0.4,0.97,0.084323247,1.05,0.139,13.65,1.46085928,2.586838362,0.100951897,5832.16089,8.380562004,1100,400,400,46.11,14.27873194,8.304985425,9.1,5.223785143,9.1,3.595234413,0.49571073,155.4,,,16,,
