Target,Simbad Name,RA,DEC,SpType,SpType Letter,SpType Number,SpType Decimal,SpType Decimal Unc,Teff (K),Teff Unc,Mstar (Msun),Mstar Unc,Rstar (Rsun),Rstar Unc,Prot (d),Prot Unc,vsini (km/s),vsini Unc,i disk (deg),i disk Unc,i star (deg),i star +Unc,i star -Unc,Age (Myr),Age +Unc,Age -Unc,disk diff,disk diff +Unc,disk diff -Unc,Veq,Veq Unc,a/Rstar,a/Rstar -Unc,a/Rstar +Unc
CoRoT-18,CoRoT-18,06 32 41.3776636176,$-$00 01 53.725599732,G9,G,9,3.9,0.001,5440,100,0.95,0.15,0.88,0.03,5.53,0.33,8,1,90,1.00E-05,90.0045,0.0044683,22.53256644,10690,3820,3820,1,21.54353494,1,8.050922946,0.553306165,7.01,0.38,0.28
CoRoT-2,CoRoT-2,19 27 06.4944,+01 23 01.3599,G7,G,7,3.7,0.001,5598,50,0.972,0.119,0.9,0.02,4.52,0.02,10.3,0.9,90,1.00E-05,90.0045,0.004476944,16.89868412,2660,1620,1620,2,14.89982478,2,10.07377401,0.228256209,18.92,2.15,2.42
HAT-P-20,HAT-P-20,07 27 39.9488720808,+24 20 11.516231112,K3,K,3,4.3,0.001,4595,45,0.76,0.03,0.68,0.01,14.48,0.02,1.85,0.27,90,1.00E-05,52.5,14.60496299,10.48836072,6700,5700,3800,37.5,10.50798747,14.58905901,2.375901765,0.035093503,11.36,0.14,0.14
HAT-P-36,HAT-P-36,12 33 03.9061156728,+44 54 55.196024616,G5,G,5,3.5,0.001,5620,40,1.03,0.03,1.04,0.02,15.3,0.4,3.12,0.75,90,1.00E-05,73,17.00895403,14.40564687,6600,2900,1800,12.5,18.90724975,12.5,3.438983069,0.111611838,4.93,0.1,0.1
HATS-2,HATS-2,11 46 57.3702458424,$-$22 33 46.817348148,K0 - M0,K - M,0 - 0,4.5,0.001,5227,95,0.9,0.05,0.9,0.02,24.98,0.04,1.5,0.5,90,1.00E-05,65,25.00894395,12.02690319,9700,2900,2900,24,13.02487775,24,1.822796578,0.040611616,5.51,0.14,0.14
HD 209458,HD 209458,22 03 10.7727465312,+18 53 03.549393384,G0,G,0,3,0.001,6117,50,1.23,0.09,1.16,0.01,10.65,0.75,4.8,0.2,90,1.00E-05,61,12.40202227,8.084871438,4000,1200,1200,29.5,7.564998603,12.92941459,5.510569837,0.390965115,8.78,0.15,0.15
Kepler-17,Kepler-17,19 53 34.8643397568,+47 48 54.049530564,G5,G,5,3.5,0.001,5781,85,1.16,0.06,0.98,0.02,12.09,0.24,4.7,1,90,1.00E-05,90.0045,0.00446837,24.02945224,2900,1500,1600,0,24.02225172,0,4.100982387,0.116756341,5.7,0.41,0.14
Qatar 2,Qatar 2,13 50 37.4100326640,$-$06 48 14.421574044,K5,K,5,4.5,0.001,4645,50,0.74,0.02,0.7,0.01,18.5,1.9,2.8,0.5,90,1.00E-05,90.0045,0.004474929,19.5749984,9400,3200,3200,0.5,19.08184874,0.5,1.914319578,0.198498665,6.53,0.1,0.1
Qatar-1,Qatar-1,20 13 31.6172746704,+65 09 43.492226796,K3,K,3,4.3,0.001,4910,100,0.85,0.04,0.8,0.02,23.7,0.12,1.7,0.3,90,1.00E-05,90.0045,0.004465255,25.01845114,8900,3700,3700,1.5,23.50303571,1.5,1.707771534,0.043561128,6.25,0.16,0.16
WASP-19,WASP-19,09 53 40.0765648584,$-$45 39 33.057187596,G8,G,8,3.8,0.001,5460,90,0.96,0.09,1.02,0.01,12.13,2.1,4.4,0.9,90,1.00E-05,90.0045,0.004461483,27.96365685,9950,2490,2490,0.5,27.45969297,0.5,4.254294009,0.737702482,3.45,0.07,0.07
WASP-32,WASP-32,00 15 50.8077262344,+01 12 01.588900896,F0 - G0,F - G,0 - 0,2.5,0.001,6100,100,0.72,0.34,1.11,0.05,11.6,1,3.9,0.4,90,1.00E-05,54.5,16.79202613,10.15294478,2220,620,730,35,10.66416229,16.27900587,4.84120105,0.470884519,7.63,0.35,0.35
WASP-4,WASP-4,23 34 15.0857248317,$-$42 03 41.047972591,G7,G,7,3.7,0.001,5540,55,0.86,0.08,0.91,0.02,22.2,3.3,2.14,0.38,90,1.00E-05,90.0045,0.00446378,26.27926692,7000,2900,2900,0.5,25.79203904,0.5,2.073846209,0.3116257,5.48,0.15,0.15
WASP-41,WASP-41,12 42 28.4949559632,$-$30 38 23.529045948,G8,G,8,3.8,0.001,5546,33,0.81,0.15,0.89,0.01,18.41,0.05,1.6,1.1,90,1.00E-05,62,28.0089342,16.09685749,9800,2300,3900,28.5,15.6004846,28.5,2.445819186,0.028272536,9.95,0.18,0.18
WASP-43,WASP-43,10 19 38.0088913464,$-$09 48 22.605801336,K7,K,7,4.7,0.001,4520,120,0.58,0.05,0.67,0.01,15.6,0.4,2.26,0.54,90,1.00E-05,90.0045,0.004462922,27.40509138,7000,7000,7000,3.5,23.89621098,3.5,2.172892964,0.064466807,4.92,0.1,0.09
WASP-5,WASP-5,23 57 23.7564672192,$-$41 16 37.743700800,G4,G,4,3.4,0.001,5770,65,0.96,0.13,1.09,0.04,16.2,0.4,3.2,0.3,90,1.00E-05,71.5,15.66312781,7.508997374,5600,2200,2200,18,7.981345652,15.17602423,3.404078861,0.15056465,5.42,0.22,0.22
WASP-52,WASP-52,23 13 58.7576098848,+08 45 40.572305352,K2,K,2,4.2,0.001,5000,100,0.87,0.03,0.79,0.02,17.26,0.51,2.62,0.07,90,1.00E-05,90.0045,0.004491068,7.018838742,10700,1900,1900,0,7.023548833,0,2.315658055,0.090102979,7.23,0.21,0.21
WASP-6,WASP-6,23 12 37.7368282608,$-$22 40 26.273805024,G5,G,5,3.5,0.001,5375,65,0.55,0.17,0.86,0.03,23.8,0.15,1.6,0.27,90,1.00E-05,64,19.92686215,10.32497527,11000,3000,7000,25,11.32299584,18.92352613,1.828140725,0.064804836,10.3,0.4,0.4
WASP-69,WASP-69,21 00 06.1968214728,$-$05 05 40.034944176,K5,K,5,4.5,0.001,4700,50,0.98,0.14,0.81,0.03,23.07,0.16,2.2,0.4,90,1.00E-05,90.0045,0.004473099,20.76353271,7000,7000,7000,1,19.76380583,1,1.776337784,0.066933814,11.97,0.44,0.44
WASP-94A,WASP-94A,20 55 07.9443,$-$34 08 08.0075,F8,F,8,2.8,0.001,6170,80,1.14,0.151,1.62,0.045,10.48,1.6,4.2,0.5,90,1.00E-05,33,10.76700423,7.196682388,2700,600,600,57,7.196488169,10.79202388,7.820632189,1.21359153,7.3,0.26,0.22
XO-2 N,XO-2 N,07 48 06.4723,+50 13 32.9206,G8,G,8,3.8,0.001,5332,57,0.902,0.115,1,0.03,41.6,1.1,1.07,0.09,90,1.00E-05,62.5,13.87304132,9.06501145,7800,1300,1200,27.5,9.098193005,13.84402153,1.216171435,0.048634628,7.79,0.36,0.59
