Target,Simbad Name,RA,DEC,SpType,SpType Letter,SpType Decimal,SpType Decimal Unc,i disk (deg),i disk Unc,Rstar (Rsun),Rstar Unc,Mstar (Msun),Mstar Unc,Prot (d),Prot Unc,vsini (km/s),vsini Unc,Teff (K),Teff Unc,Age (Myr),Age +Unc,Age -Unc,i star (deg),i star +Unc,i star -Unc,disk diff,disk diff +Unc,disk diff -Unc,Veq,Veq Unc,Rdisk (au),Rdisk +Unc,Rdisk -Unc
2MASS J04124068+2438157,2MASS J04124068+2438157,04 12 40.7112,24 38 15.404,M4.3,M,4.3,0.01,15.84,0.76,0.987,0.17237214,0.377,0.377,5.719756098,0.212040544,6.442666667,0.657230807,3337.246846,3.292737913,4.3,1.9,1.9,48.21,21.38064853,10.77699541,34.2,19.49423848,12.70800179,8.730271943,1.558648288,126,0.9,0.6
2MASS J04202555+2700355,2MASS J04202555+2700355,04 20 25.5570,27 00 35.5485,M5.3,M,5.3,0.01,38.25,0.25,0.858,0.365147915,0.247257308,0.012584702,2.24,0.084520013,14.2,0.75,3083.268184,32.08894716,6.62,0.11,0.11,47.29,29.75922721,11.21400604,0.2,30.49246058,0.2,19.37882312,8.279596781,21.09,0.04,0.04
2MASS J04334465+2615005,2MASS J04334465+2615005,04 33 44.6585,26 15 00.4362,M5.2,M,5.2,0.01,57.565,0.065,1.475,0.446850087,0.13030303,0.034815531,5.876692308,0.220570041,15.97,0.7985,3142.546947,4.29226991,3,2.828427125,2.828427125,90,-2.92E-05,21.75312253,32.1,0.201002604,21.08555141,12.69834719,3.876365789,46.22,0.08,0.07
2MASS J04343128+1722201,2MASS J04343128+1722201,04 34 31.2885,17 22 20.1224,M4.3,M,4.3,0.01,68.54,0.23,0.901,0.157352885,0.372,0.101823376,6.016371134,0.24445502,8.702885,0.558904271,3293.534632,3.83569764,7.2,3,3,90,-2.53E-05,18.92652219,0.2,13.79762224,0.2,7.576668766,1.358548264,81.2,0.8,0.8
2MASS J04360131+1726120,2MASS J04360131+1726120,04 36 01.3135,17 26 12.0912,M2.7,M,2.7,0.01,53.42,1.45,0.983,0.076164689,0.535,0.06363961,2.71,0.063850984,16.39457,0.8197285,3592.053734,85.67183878,2.5,2.5,2.5,63.58,15.06665163,8.394980691,7.1,13.98814399,7.1,18.3515333,1.486199394,13.2,0.4,0.3
2MASS J11004022-7619280,2MASS J11004022-7619280,11 00 40.2419,-76 19 28.0069,M4.0,M,4,0.01,4.395,3.075,0.907,0.15840074,0.315032826,0.032036314,2.79,0.073270073,5.4,0.8,3340.914424,64.50721085,3.515142048,0.704299756,0.704299756,19.6,6.457004581,4.536706442,15,7.322977575,5.204162916,16.4471712,2.904668946,99.06,15.24,13.335
2MASS J16083070-3828268,2MASS J16083070-3828268,16 08 30.6846,-38 28 27.288,K2.0,K,2,0.01,72.46,0.64,1.661,0.290081179,1.44245283,0.087415728,6.242028874,0.238445056,8,ulimit,4856.71782,53.18246355,2.5,0.3,0.3,27.99,11.18097962,14.46624099,45.5,13.24938839,12.41399344,13.46269443,2.406745524,100.75,4.65,3.1
AA Tau,AA Tau,04 34 55.4270,24 28 52.671,K7.0,K,7,0.01,59.1,0.3,2.4,1.644210984,0.624090175,0.042421714,8.199788362,0.34376099,11.62763523,0.304109326,3879.855887,172.8753382,1.498523853,0.241649143,0.241649143,51.79,32.07662861,11.28800137,2.3,19.38334937,2.3,14.80801098,10.16376606,139.4,1.2,1.2
AS 209,AS 209,16 49 15.2946,-14 22 09.057,K4.0,K,4,0.01,34.97,0.13,2.011,0.351206051,1.102281468,0.089690892,8.515,0.387981986,10.40493505,0.374236986,4118.801339,87.30849287,1.290618633,0.197329291,0.197329291,60.68,20.56045044,9.481979416,26.1,20.00799415,10.03479547,11.94855942,2.15657849,139,1,1
BP Tau,BP Tau,04 19 15.8458,29 06 26.471,K7.0,K,7,0.01,38.2,0.5,1.41,0.171294162,0.65990261,0.055406561,7.344095517,0.286118097,9.066889711,0.374753285,3843.124499,14.19622922,1.391911405,0.166724302,0.166724302,69.23,17.26669809,7.729992235,29.1,19.36113455,5.648978844,9.71334748,1.239221288,40.8954,0,0
