Target,Simbad Name,RA,DEC,SpType,SpType Letter,SpType Number,SpType Decimal,SpType Decimal Unc,Teff (K),Teff Unc,Mstar (Msun),Mstar Unc,Rstar (Rsun),Rstar Unc,Prot (d),Prot Unc,vsini (km/s),vsini Unc,i disk (deg),i disk Unc,i star (deg),i star +Unc,i star -Unc,Age (Myr),Age +Unc,Age -Unc,disk diff,disk diff +Unc,disk diff -Unc,Veq,Veq Unc,a/Rstar,a/Rstar -Unc,a/Rstar +Unc
K2-139,K2-139,19 16 15.9692401056,$-$17 54 38.409512868,K0,K,0,4,0.001,5370,68,0.96,0.02,0.88,0.01,17.26,1.53,2.8,0.6,90,1.00E-05,90.0045,0.004465574,25.68245896,1800,300,300,0,25.68647643,0,2.579467201,0.230526131,47.25,1.98,0.73
K2-281,K2-281,01 04 54.5696948592,+07 16 09.166131588,K2,K,2,4.2,0.001,4812,72,0.82,0.03,0.76,0.01,28.65,4.64,3,1,90,1.00E-05,90.0045,0.004462059,29.74249447,11630,5410,6720,1,28.7391906,1,1.342075954,0.21807157,25.9,1.85,0.69
K2-329,K2-329,23 24 32.4760991064,$-$05 09 50.728115916,K1,K,1,4.1,0.001,5282,39.5,0.9,0.05,0.822,0.02,25.31,3.73,1.9,0.5,90,1.00E-05,90.0045,0.004462826,27.9684534,1800,2200,1300,4,23.98203177,4,1.643114399,0.245428,26.62,0.46,0.46
K2-77,K2-77,03 40 54.8212982808,+12 34 21.400282560,K4,K,4,4.4,0.001,5070,50,0.8,0.12,0.76,0.03,20.56,2.15,2.9,1,90,1.00E-05,90.0045,0.004461586,29.77942072,850,450,450,1.5,28.26233936,1.5,1.870159343,0.209035563,23.2,2.3,6.4
Kepler-1654,Kepler-1654,18 48 44.5901545800,+44 26 04.072759440,G5,G,5,3.5,0.001,5597,94,1.01,0.055,1.18,0.03,16.95,0.08,2,ulimit,90,1.00E-05,32.5,1.94801983,14.10060336,5000,1000,1000,57.5,14.09200853,1.958234122,3.522089876,0.091074608,370.3,4.7,2.2
Kepler-27,Kepler-27,19 28 56.8196,+41 05 09.1405,K1,K,1,4.1,0.001,5294,62,0.89,0.06,0.782,1.51,14.77,0.06,2.7,0.6,90,1.00E-05,90.0045,0.004430054,48.1145722,1620,980,470,1,47.10523974,1,2.678640229,5.172321863,30.12,0.6,0.6
Kepler-28,Kepler-28,19 28 32.8904682216,+42 25 45.959315016,M0,M,0,5,0.001,4690,56.5,0.77,0.02,0.649,0.028,17.97,0.08,3.8,1,90,1.00E-05,90.0045,0.004467805,25.36849465,2240,1820,770,0.5,24.87035546,0.5,1.827194372,0.079249766,25.75,0.8,0.8
Kepler-289,Kepler-289,19 49 51.6736237968,+42 52 58.268872164,F9,F,9,2.9,0.001,5990,38,1.08,0.02,1,0.02,8.74,0.11,5.6,0.4,90,1.00E-05,76.5,13.47277119,5.61902286,650,440,440,13,6.081787312,13,5.78864207,0.136788769,108.6,1.1,1.1
Kepler-30,Kepler-30,19 01 08.0746104528,+38 56 50.218268856,M3,M,3,5.3,0.001,5452,63,0.99,0.08,0.95,0.12,16.19,0.06,2,0.2,90,1.00E-05,43,12.87122666,8.644019772,1580,920,420,47,8.635998769,12.8613057,2.968690248,0.375153811,68.1,9.2,9.2
Kepler-447,Kepler-447,19 01 04.4556648384,+48 33 35.945205516,G8,G,8,3.8,0.001,5615,57.5,1,0.21,1.05,0.19,6.47,0.03,7.2,0.4,90,1.00E-05,61.5,20.77255655,9.381965022,2690,2020,1160,28.5,9.080753877,21.06201778,8.210566967,1.486209329,20.41,0.19,0.36
Kepler-468,Kepler-468,19 15 36.5419951656,+49 22 13.749148200,G0 - K0,G - K,0 - 0,3.5,0.001,5498,64,0.96,0.025,0.87,0.015,11.09,0.06,3.9,1,90,1.00E-05,90.0045,0.004459154,29.54801455,2000,1290,730,2,27.56552047,2,3.9689519,0.071720211,54.52,1.25,1.25
Kepler-51,Kepler-51,19 45 55.1428629456,+49 56 15.650520684,G0 - K0,G - K,0 - 0,3.5,0.001,5670,60,1.04,0.12,0.881,0.011,8.18,0.03,5.4,0.5,90,1.00E-05,88,2.008973112,16.9525499,500,250,250,3.5,15.45862767,3.5,5.448923792,0.070908467,94.1,2.2,2.2
Kepler-52,Kepler-52,19 06 57.1300334784,+49 58 32.637931608,M0,M,0,5,0.001,4242,38,0.56,0.07,0.63,0.015,11.99,0.06,3,1,90,1.00E-05,90.0045,0.004459412,30.62580531,3550,4600,1950,1,29.63385781,1,2.658333692,0.064676507,23.07,0.37,0.37
Kepler-539,Kepler-539,19 56 29.3871979920,+41 52 00.317369676,G2,G,2,3.2,0.001,5820,80,1.05,0.04,0.95,0.02,11.97,0.03,3.1,0.3,90,1.00E-05,51,8.473008018,6.742791324,2000,1200,630,39,6.731993792,8.47168037,4.015296166,0.085129455,94.61,6.5,7.53
Kepler-63,Kepler-63,19 16 54.2861367672,+49 32 53.451062520,G8 - G9,G - G,9-Aug,3.85,0.001,5576,50,0.98,0.04,0.9,0.0245,5.4,0.03,5,0.3,90,1.00E-05,36.5,2.926999792,2.718899681,210,50,50,53.5,2.713153692,2.932999558,8.432121949,0.23427245,20.79,0.46,0.46
Kepler-75,Kepler-75,19 24 33.0185656152,+36 34 38.477691264,G8,G,8,3.8,0.001,5206,42.5,0.91,0.04,0.88,0.04,19.2,0.08,3.2,0.7,90,1.00E-05,90.0045,0.004470936,22.59639659,6200,3500,2800,1,21.58678717,1,2.318833536,0.105843431,20.49,0.75,0.75
Kepler-9,Kepler-9,19 02 17.7544327200,+38 24 03.176851896,G2,G,2,3.2,0.001,5774,60,1.02,0.035,0.96,0.02,16.82,0.06,2,0.4,90,1.00E-05,46,14.81601837,11.44903446,1910,1090,570,44.5,10.95325227,15.34101885,2.887575649,0.061033306,31.3,1.5,1.1
TOI-1227,TOI-1227,12 27 04.3053248184,$-$72 27 06.492769776,M4.5 - M5,M - M,4.5 - 5,5.475,0.001,3072,74,0.17,0.01,0.56,0.03,1.66,0.03,16.65,0.24,90,1.00E-05,77.5,11.50080894,5.18397977,100,20,20,13,4.579988469,12.0994714,17.06742756,0.964952205,34.01,1,0.97
TOI-4562,TOI-4562,07 28 02.4279306144,$-$63 31 04.166033160,F7,F,7,2.7,0.001,6096,32,1.19,0.06,1.152,0.046,3.81,0.03,16.4,0.3,90,1.00E-05,90.0045,0.004489429,8.185818949,300,1000,1000,0,8.183593998,0,15.2973299,0.622593695,150.3,9.8,12.4
V1298 Tau,V1298 Tau,04 05 19.5910,+20 09 25.5632,K1,K,1,4.1,0.001,4970,120,0.873,0.105,1.34,0.06,2.97,0.06,24.8,0.2,90,1.00E-05,90.0045,0.004489363,8.251870173,20,4,4,0,8.247417286,0,22.82635033,1.121287971,27,1.1,1.1
WASP-84,WASP-84,08 44 25.7031511896,+01 51 36.105474888,K0,K,0,4,0.001,5280,80,0.85,0.04,0.77,0.02,14.36,0.35,2.56,0.08,90,1.00E-05,71,10.43750817,6.506004112,2100,1600,1600,19.5,5.993995612,10.94910448,2.712841463,0.096628419,21.7,0.72,0.72
